z,mu,sigma_mu
0.64864,42.88665,0.159
0.93675,43.8217,0.1405
0.46156,42.11265,0.11115
0.67065,43.13495,0.1775
0.24649,40.51055,0.10805
0.63822,42.840050000000005,0.184
0.53532,42.41945,0.11085
0.77307,43.52605,0.17625
0.3705,41.50255,0.1043
0.69916,43.23895,0.1728
0.3735,41.46185,0.1039
0.85298,43.6552,0.1508
0.60326,42.938050000000004,0.1429
0.53433,42.2723,0.1289
0.40048,41.6101,0.1151
0.3715,41.55135,0.10745
0.83999,43.3753,0.15175
0.53278,42.409000000000006,0.11385
0.93225,44.054,0.21015
0.55381,42.6338,0.1242
0.84214,43.676100000000005,0.1858
0.72767,43.2187,0.19785
0.44255,42.022850000000005,0.1137
0.28251,40.9246,0.1073
0.51961,42.38865,0.109
1.0608,44.0373,0.16415
0.26849,40.59725,0.1051
0.2505,40.526300000000006,0.1114
0.69816,43.1424,0.2171
0.73012,43.1184,0.19115
0.99781,43.9622,0.0953
0.40946,41.801,0.10895
0.12679,38.8929,0.11965
0.25577,40.6844,0.1818
0.08859,37.99345,0.10605
0.11782,38.54345,0.0991
0.18356,39.6451,0.1284
0.14055,39.221000000000004,0.11635
0.15171,39.143299999999996,0.10325
0.094,38.239000000000004,0.10285
0.28631,41.032700000000006,0.1504
0.26318,40.7076,0.14295
0.14167,39.14675,0.1047
0.16053,39.2829,0.1156
0.1229,38.7448,0.11665
0.1262,38.71855,0.113
0.17331,39.50345,0.09925
0.16448,39.38175,0.1083
0.16018,39.272850000000005,0.11045
0.24488,40.21815,0.1298
0.24805,40.33175,0.13435
0.27511,40.72075,0.15505
0.33015,41.2821,0.1589
0.3307,41.17885,0.1481
0.1604,39.33615,0.10955
0.21861,40.22005,0.13435
0.12005,38.71835,0.1021
0.17818,40.07835,0.1286
0.279,40.851150000000004,0.13265
0.18562,39.833650000000006,0.1298
0.06641,37.3381,0.1134
0.25769,40.6275,0.14285
0.27946,40.627300000000005,0.1398
0.2655,40.4109,0.1301
0.18478,39.72525,0.1056
0.05715,37.00695,0.1072
0.32601,41.023300000000006,0.1464
0.10902,38.5221,0.10285
0.20299,40.0501,0.1382
0.37949,41.48745,0.1395
0.21198,40.03915000000001,0.12295
0.21327,40.13295,0.1364
0.14393,39.18575,0.113
0.25218,40.5178,0.16095
0.25641,40.6258,0.1749
0.2186,40.326,0.1685
0.07883,37.889700000000005,0.12205
0.08328,38.0938,0.11605
0.17008,39.5989,0.107
0.23643,40.22655,0.14325
0.30538,40.7303,0.19765
0.08286,37.867900000000006,0.1055
0.18905,39.5539,0.1187
0.08162,37.861000000000004,0.10425
0.25626,40.6064,0.16145
0.12631,38.935249999999996,0.13485
0.1028,38.511750000000006,0.1443
0.1244,38.8284,0.1006
0.37003,41.81065,0.1636
0.20192,39.73595,0.11475
0.18004,40.03245,0.14335
0.16163,39.4859,0.1299
0.22644,40.2271,0.141
0.29649,40.7949,0.1446
0.24999,40.55115,0.13305
0.14864,39.268150000000006,0.1063
0.14711,39.126000000000005,0.10335
0.2149,40.55185,0.1483
0.14462,39.1606,0.13965
0.13226,39.279300000000006,0.1333
0.2195,40.35055,0.1346
0.38447,41.755750000000006,0.14945
0.1742,39.6961,0.1115
0.17772,39.55345,0.1224
0.29911,40.869749999999996,0.1301
0.1187,38.79875,0.1339
0.17685,39.5897,0.106
0.24526,40.7252,0.1882
0.1959,39.898250000000004,0.11935
0.24832,40.44655,0.1326
0.30617,41.12705,0.16135
0.24616,40.5069,0.13055
0.13527,39.317099999999996,0.1135
0.21028,39.9902,0.1335
0.23603,40.5047,0.12315
0.17831,39.725350000000006,0.1134
0.22043,40.167950000000005,0.15445
0.31468,41.170100000000005,0.1572
0.1846,39.90175,0.1118
0.2611,40.5536,0.13865
0.18122,39.56145,0.10535
0.38003,41.38255,0.1506
0.1846,39.73765,0.1082
0.20824,40.00465,0.12075
0.17746,39.68625,0.12905
0.31555,41.0668,0.15355
0.24954,40.5176,0.1247
0.20324,40.0009,0.11955
0.12347,38.769800000000004,0.10285
0.20314,39.99385,0.12035
0.15352,39.4726,0.10495
0.33398,41.2849,0.1592
0.19582,39.878600000000006,0.1151
0.24943,40.4269,0.14445
0.1549,39.3751,0.1063
0.15625,39.33785,0.12595
0.15819,39.16685,0.12375
0.309,41.1614,0.19685
0.24828,40.4761,0.1388
0.18484,39.66575,0.1235
0.18353,39.8574,0.1247
0.18212,39.72965000000001,0.13765
0.17675,39.635450000000006,0.129
0.17748,39.421800000000005,0.12115
0.0718,37.3621,0.1254
0.13796,39.01285,0.10475
0.16941,39.81515,0.1317
0.24527,40.0698,0.14705
0.14406,39.166650000000004,0.10485
0.25163,40.5838,0.1462
0.03743,36.1208,0.1166
0.27716,41.2307,0.2055
0.28712,40.6168,0.1491
0.19845,39.96015,0.13895
0.16031,39.426050000000004,0.129
0.21053,40.363600000000005,0.15075
0.23753,40.3647,0.1316
0.15499,39.49265,0.11795
0.0939,38.299549999999996,0.14945
0.15253,39.435550000000006,0.11355
0.25693,40.6241,0.1446
0.21231,40.15065,0.1303
