z,mu,sigma_mu
0.1187,38.61765,0.1244
0.24494,40.40305,0.1237
0.3507,41.3123,0.10725
0.61992,42.8334,0.1156
0.21986,40.18145,0.10825
0.09929,38.5329,0.10965
0.40996,41.8168,0.20545
0.50276,42.16425,0.2082
0.38171,41.664950000000005,0.143
0.27989,40.6469,0.11365
0.23071,40.09845,0.15255
0.42693,41.909400000000005,0.1627
0.55014,42.4891,0.14355
0.32531,41.31765,0.14105
0.35092,41.352450000000005,0.1283
0.32832,41.32245,0.18155
0.45059,41.8003,0.1316
0.06441,37.44975,0.1085
0.06559,37.262550000000005,0.12675
0.31811,41.1616,0.12465
0.14539,39.6051,0.1724
0.13947,39.129900000000006,0.1129
0.42967,42.10515,0.1527
0.21641,39.945750000000004,0.11555
0.36616,41.23675,0.1841
0.38083,41.5563,0.1382
0.42086,41.82585,0.16245
0.19958,39.96175,0.15295
0.5109,42.1706,0.17305
0.42696,41.968900000000005,0.15295
0.31579,41.2842,0.1522
0.57824,42.6302,0.1624
0.48176,42.366600000000005,0.15415
0.39267,41.53855,0.1588
0.17359,39.43825,0.1083
0.33059,41.3484,0.1153
0.29948,41.05345,0.1614
0.22943,40.30825,0.1411
0.29291,40.89425,0.1708
0.20861,39.942949999999996,0.11275
0.27509,40.6369,0.11615
0.30337,41.01825,0.11865
0.35902,41.54585,0.1342
0.3602,41.220200000000006,0.1604
0.34902,41.331649999999996,0.1223
0.63056,42.6669,0.11795
0.32092,41.369200000000006,0.15495
0.51002,42.19675,0.1182
0.36646,41.356700000000004,0.1243
0.13823,39.144400000000005,0.1038
0.1792,39.89675,0.14915
0.17157,39.57,0.11585
0.27047,40.5856,0.1242
0.34688,41.58255,0.2533
0.47942,41.9631,0.1463
0.31894,41.2669,0.137
0.51879,42.3078,0.1518
0.3799,41.53215,0.1306
0.37089,41.48805,0.26375
0.18152,39.824,0.12575
0.22374,40.10105,0.12225
0.14135,39.1922,0.13225
0.30567,41.034850000000006,0.12015
0.40471,41.47805,0.15365
0.28578,40.78725,0.1358
0.30156,40.935900000000004,0.13495
0.26388,40.581900000000005,0.12955
0.50091,42.3217,0.1963
0.30525,40.99295,0.1129
0.38598,41.632450000000006,0.126
0.1986,39.994200000000006,0.1223
0.09121,38.108050000000006,0.1103
0.47796,42.2761,0.1649
0.33159,41.181,0.11675
0.47175,42.059650000000005,0.15
0.33081,41.122600000000006,0.15595
0.26088,40.7072,0.14225
0.07141,37.507450000000006,0.1192
0.18141,39.775999999999996,0.1593
0.33829,41.26315,0.151
0.12211,38.723650000000006,0.11495
0.25012,40.463499999999996,0.14315
0.16046,39.51235,0.167
0.29843,41.34485,0.16045
0.38887,41.468050000000005,0.14095
0.29245,40.8187,0.1649
0.32841,41.0155,0.17245
0.30549,41.0495,0.13305
0.28546,40.81645,0.1395
0.42886,41.8292,0.1471
0.17967,39.831,0.1699
0.18959,39.85025,0.1605
0.24849,40.54025,0.14705
0.40927,41.83095,0.19045
0.24146,40.20675,0.13015
0.33748,41.2291,0.16625
0.0706,37.83435,0.29975
0.34546,41.3093,0.1626
0.3306,41.337050000000005,0.15615
0.05495,36.95185,0.1165
0.42359,41.72855,0.1425
0.1072,38.54495,0.1111
0.2854,40.5765,0.12315
0.32553,41.26925,0.1384
0.33493,41.09575,0.1129
0.2909,40.655950000000004,0.15955
0.44058,41.7738,0.13695
0.24111,40.44055,0.1118
0.46101,42.100350000000006,0.16435
0.11944,38.68475,0.1245
0.54539,42.69415,0.1462
0.41155,41.9589,0.1289
0.26848,40.69225,0.14435
0.04976,36.70275,0.13525
0.41131,41.931700000000006,0.15385
0.07369,37.585499999999996,0.1566
0.31841,41.4316,0.21085
0.4193,41.51135,0.152
0.42028,41.84015,0.2331
0.43885,41.81285,0.19185
0.4804,42.038650000000004,0.17225
0.1998,40.01375,0.13595
0.30143,41.16235,0.1445
0.2902,40.7912,0.13835
0.3092,40.93775,0.1462
0.2956,41.0791,0.123
0.33848,41.23335,0.13905
0.3786,41.56555,0.1463
0.0896,38.07405,0.11685
0.4507,42.0086,0.15475
0.4604,42.1511,0.14725
1.206,45.08935,0.3352
1.33,44.9534,0.1484
1.54,45.2572,0.21065
1.55,45.35705,0.18565
1.7,45.4092,0.2832
1.8,45.551100000000005,0.18795
2.26,46.227000000000004,0.2548
1.914,45.51090000000001,0.2559
1.3,44.87015,0.17875
1.34,44.815200000000004,0.1632
1.02,44.23235,0.1657
0.735,43.05605,0.134
1.12,44.4139,0.1649
1.23,44.63615,0.19155
1.23,44.8485,0.17085
0.854,43.662800000000004,0.21455
1.37,44.865899999999996,0.1622
0.9752,44.0561,0.13985
0.97,44.465450000000004,0.26175
0.74,43.1946,0.12605
1.39,44.71305,0.20125
1.305,44.6142,0.235
0.935,43.616600000000005,0.1658
1.014,44.20445,0.2291
1.315,44.89235,0.1987
1.092,43.98835,0.26405
